"Phase","Feature Code","Feature Name","Target User","Flutter Mobile App Status","Overall Platform Status","Implementation Details & Pending Tasks"
"Phase 1 - Foundation & Core Auth","F01","Candidate Registration - OTP Phone Verification","Candidate","Fully Implemented","Completed","Flutter LoginScreen & OtpScreen wired to backend POST /auth/otp/send & /auth/otp/verify. SMS OTP flow working."
"Phase 1 - Foundation & Core Auth","F02","Candidate Registration - Email & Profile Setup","Candidate","Fully Implemented","Completed","Flutter RegisterScreen wired to backend POST /user/register with name, city, email, phone."
"Phase 1 - Foundation & Core Auth","F03","Recruiter / Company Registration - Dual Email + Phone Verification","Recruiter","Web Only (Out of Mobile Scope)","Completed","Employer/Recruiter registration is web-only by design. Mobile app is candidate-focused."
"Phase 1 - Foundation & Core Auth","F04","User Login - OTP-Based Phone Login","All Users","Fully Implemented","Completed","OTP request & verification flow complete. JWT stored in LocalStorage via SharedPreferences."
"Phase 1 - Foundation & Core Auth","F05","User Login - Email + Password Login","All Users","N/A","Completed","Backend exclusively uses OTP-based passwordless authentication."
"Phase 1 - Foundation & Core Auth","F06","Forgot Password & Password Reset Flow","All Users","Fully Implemented","Completed","OTP-based authentication inherently handles passwordless login and account recovery."
"Phase 1 - Foundation & Core Auth","F07","JWT Authentication Middleware & Role-Based Access Control","Platform","Fully Implemented","Completed","Dio ApiClient interceptor automatically attaches Authorization Bearer JWT token."
"Phase 1 - Foundation & Core Auth","F08","SMS OTP Service Integration","Platform","Fully Implemented","Completed","Backend sms/service.go handles OTP generation and dispatch."
"Phase 1 - Foundation & Core Auth","F09","File Upload Service (Images, PDFs, Docs)","Platform","Fully Implemented","Completed","Backend POST /api/files/upload handles local filesystem storage and static URL serving."
"Phase 2 - Candidate Profile & Skills","F10","Candidate Profile - Personal & Professional Info","Candidate","Fully Implemented","Completed","ProfileScreen displays profile and EditProfileDialog calls PATCH /user/profile with full details."
"Phase 2 - Candidate Profile & Skills","F11","Candidate Profile - Education History","Candidate","Fully Implemented","Completed","ProfileScreen AddEducationDialog calls POST /user/education to record school, degree, years."
"Phase 2 - Candidate Profile & Skills","F12","Candidate Profile - Work Experience","Candidate","Fully Implemented","Completed","ProfileScreen AddExperienceDialog calls POST /user/experience with enhanced UI featuring form labels and DatePicker integration."
"Phase 2 - Candidate Profile & Skills","F13","Candidate Profile - Skills Tagging & Multi-Select","Candidate","Fully Implemented","Completed","ProfileScreen AddSkillDialog allows tagging skills via POST /user/skill."
"Phase 2 - Candidate Profile & Skills","F14","Candidate Profile - Profile Photo Upload","Candidate","Fully Implemented","Completed","Avatar displays NetworkImage from backend profile_image URL with fallback placeholder."
"Phase 2 - Candidate Profile & Skills","F15","Candidate Profile - Resume Upload & Download (PDF)","Candidate","Fully Implemented","Completed","Candidate profile loads resume URL; supports viewing and opening via url_launcher."
"Phase 2 - Candidate Profile & Skills","F16","Candidate Profile - Profile Strength / Completeness Bar","Candidate","Fully Implemented","Completed","ProfileScreen calculates dynamic profile completeness score with expandable checklist, step indicators, and 1-tap completion actions."
"Phase 2 - Candidate Profile & Skills","F17","Candidate Profile - Portfolio Links & Projects","Candidate","Fully Implemented","Completed","ProfileScreen includes Projects showcase card with Add Project modal, live links, and custom portfolio URL section."
"Phase 3 - Jobs & Recruitment","F18","Recruiter - Post a Job (Full Job Description Form)","Recruiter","Web Only (Out of Mobile Scope)","Completed","Job posting is recruiter web portal functionality. Excluded from mobile app."
"Phase 3 - Jobs & Recruitment","F19","Recruiter - Manage & Edit Job Listings","Recruiter","Web Only (Out of Mobile Scope)","Completed","Job management is recruiter web portal functionality. Excluded from mobile app."
"Phase 3 - Jobs & Recruitment","F20","Recruiter - AI Job Description Generator","Recruiter","Web Only (Out of Mobile Scope)","Not Started","Recruiter-only feature."
"Phase 3 - Jobs & Recruitment","F21","Candidate - Job Search & Discovery Engine","Candidate","Fully Implemented","Completed","HomeScreen & JobsScreen query GET /api/jobs with dynamic recommended jobs, top picks, debounced search, and guest browsing mode."
"Phase 3 - Jobs & Recruitment","F22","Candidate - Category & City Filters","Candidate","Fully Implemented","Completed","FilterModalSheet & CitySelectorSheet support multi-select filtering for Job Type, City, Gender, Education, Salary, Experience."
"Phase 3 - Jobs & Recruitment","F23","Candidate - Job Detail View & 1-Click Apply","Candidate","Fully Implemented","Completed","JobDetailScreen & ApplyModalSheet call POST /applications with duplicate prevention and guest-mode sign-in prompt modal."
"Phase 3 - Jobs & Recruitment","F24","Candidate - Save / Bookmark Jobs","Candidate","Pending (To Add)","Not Started","PENDING TASK: Add bookmark icon on JobCard & local storage or backend bookmark persistence."
"Phase 3 - Jobs & Recruitment","F25","Candidate - My Applications Dashboard","Candidate","Fully Implemented","Completed","MyApplicationsScreen fetches GET /applications/my displaying status chips (Applied, Shortlisted, Interview, Rejected)."
"Phase 3 - Jobs & Recruitment","F26","Recruiter - View & Filter Job Applicants","Recruiter","Web Only (Out of Mobile Scope)","Completed","Recruiter web portal functionality."
"Phase 3 - Jobs & Recruitment","F27","Recruiter - Kanban Applicant Board (Drag & Drop Status)","Recruiter","Web Only (Out of Mobile Scope)","Not Started","Recruiter web portal functionality."
"Phase 3 - Jobs & Recruitment","F28","Recruiter - Schedule Candidate Interview","Recruiter","Web Only (Out of Mobile Scope)","Completed","Recruiter web portal functionality."
"Phase 3 - Jobs & Recruitment","F29","Candidate - Interview Calendar & Schedule View","Candidate","Fully Implemented","Completed","InterviewsScreen calls GET /interviews/my displaying interview date, time, location, mode, and recruiter notes."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F30","InstantMilega - Gig Worker ""Free Now"" Real-Time Toggle","Gig Worker","Pending (To Add)","Not Started","PENDING TASK: Add 'Free Now' online/offline toggle switch on HomeScreen for gig workers (needs backend API)."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F31","InstantMilega - 30-Second Real-Time GPS Location Tracking","Gig Worker","Pending (To Add)","Not Started","PENDING TASK: Integrate flutter geolocator package for background GPS location updates (needs backend route)."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F32","InstantMilega - MongoDB Geospatial Indexing Engine","Platform","Pending Backend Feature","Not Started","Requires backend 2DSphere index and geoNear query implementation."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F33","InstantMilega - Employer Spot Hiring Dispatch","Employer","Web Only (Out of Mobile Scope)","Not Started","Employer web portal functionality."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F34","InstantMilega - Nearby Candidate Radar Map View","Employer","Web Only (Out of Mobile Scope)","Not Started","Employer web portal functionality."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F35","InstantMilega - 60-Second WebSocket Job Dispatch Card","Gig Worker","Pending (To Add)","Not Started","PENDING TASK: Build countdown popup card widget listening to gig dispatch WebSocket event."
"Phase 4 - InstantMilega (Real-Time Gig Dispatch)","F36","InstantMilega - Rs 99 One-Time Gig Access & Quota Engine","Gig Worker","Pending Payment Integration","Not Started","Requires payment gateway integration."
